id,identifier,total,release_date,ban_date
1,base-set,102,1999-02-09,2000-02-24
2,jungle,64,1999-06-16,2000-02-24
3,fossil,62,1999-10-10,
4,base-set-2,130,2000-02-24,
5,team-rocket,82,2000-04-24,
6,gym-heroes,132,2000-08-14,
7,gym-challenge,,,
8,neo-genesis,,,
9,neo-revelation,,,
10,neo-destiny,,,
11,legendary-collection,,,
12,expedition,,,
13,aquapolis,,,
14,skyridge,,,
15,ex-ruby-and-sapphire,,,
16,ex-sandstorm,,,
17,ex-dragon,,,
18,ex-team-magma-vs-team-aqua,,,
19,ex-hidden-legends,,,
20,ex-firered-and-leafgreen,,,
21,ex-team-rocket-returns,,,
22,ex-deoxys,,,
23,ex-emerald,,,
24,ex-unseen-forces,,,
25,ex-delta-species,,,
26,ex-legend-maker,,,
27,ex-holon-phantoms,,,
28,ex-crystal-guardians,,,
29,ex-dragon-frontiers,,,
30,ex-power-keepers,,,
31,diamond-and-pearl,,,
32,mysterious-treasures,,,
33,secret-wonders,,,
34,great-encounters,,,
35,majestic-dawn,,,
36,legends-awakened,,,
37,stormfront,,,
38,platinum,,,
